rank,property_name,city,address,property_type,bedrooms,bathrooms,sqft,monthly_rent,distance_husson_miles,distance_desert_hills_miles,distance_gap_miles,distance_preference,distance_basis,listing_type,phone,manager,application_fee,security_deposit,move_in_fee,pet_fee,first_month_required,move_in_total_published,income_21k_monthly_budget,income_41k_monthly_budget,income_21k_fit,income_41k_fit,source_name,source_url,map_link,directions_from_husson,directions_from_desert_hills,source_note
1,6630 SW 22nd Way,Bushnell,"6630 SW 22nd Way, Bushnell, FL 33513",House,2,1,800,995,73.3,66.0,7.3,Sun City Center closer,exact address,general rental,(321) 217-7746,Josh Isleworth,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,Likely required but not published,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,HotPads,https://hotpads.com/6630-sw-22nd-way-bushnell-fl-33513-206mkxp/pad,https://www.google.com/maps/search/?api=1&query=6630+SW+22nd+Way%2C+Bushnell%2C+FL+33513,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=6630+SW+22nd+Way%2C+Bushnell%2C+FL+33513&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=6630+SW+22nd+Way%2C+Bushnell%2C+FL+33513&travelmode=driving,"2 beds, 1 bath, 800 sqft, accepts applications, cats and small dogs allowed."
2,2573 County Road 426A,Lake Panasoffkee,"2573 County Road 426A, Lake Panasoffkee, FL 33538",House,2,1,,1000,64.8,75.2,10.4,Palatka closer,exact address,general rental,,,NOT FOUND / NEEDS CALL,"$1,000",NOT FOUND / NEEDS CALL,$200 one-time non-refundable pet fee,"$1,000 first month rent","$2,000 before pet fee",$525,$1025,Above budget,At or under budget,HotPads,https://hotpads.com/2573-county-road-426a-lake-panasoffkee-fl-33538-1n7mzpk/pad,https://www.google.com/maps/search/?api=1&query=2573+County+Road+426A%2C+Lake+Panasoffkee%2C+FL+33538,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=2573+County+Road+426A%2C+Lake+Panasoffkee%2C+FL+33538&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=2573+County+Road+426A%2C+Lake+Panasoffkee%2C+FL+33538&travelmode=driving,"Most recently listed at $1,000/mo. Renter is responsible for utilities."
3,7050 County Road 213 Unit A,Wildwood,"7050 County Road 213 Unit A, Wildwood, FL 34785",Apartment / Duplex Unit,3,1,1944,700,58.6,80.5,22.0,Palatka closer,fallback geocode,general rental,,,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Apartments.com,https://www.apartments.com/7050-county-road-213-wildwood-fl-unit-a/s192wt4/,https://www.google.com/maps/search/?api=1&query=7050+County+Road+213+Unit+A%2C+Wildwood%2C+FL+34785,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=7050+County+Road+213+Unit+A%2C+Wildwood%2C+FL+34785&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=7050+County+Road+213+Unit+A%2C+Wildwood%2C+FL+34785&travelmode=driving,Very clean 3 bedroom 1 bath duplex. Recently remodeled.
4,7068 County Road 213,Wildwood,"7068 County Road 213, Wildwood, FL 34785",House,2,1,,650,58.6,80.6,22.0,Palatka closer,exact address,general rental,,,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Apartments.com,https://www.apartments.com/7068-county-road-213-wildwood-fl/3rsv26e/,https://www.google.com/maps/search/?api=1&query=7068+County+Road+213%2C+Wildwood%2C+FL+34785,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=7068+County+Road+213%2C+Wildwood%2C+FL+34785&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=7068+County+Road+213%2C+Wildwood%2C+FL+34785&travelmode=driving,Recently remodeled cozy 2 bedroom 1 bath home.
5,301 S East St Apt 2,Leesburg,"301 S East St Apt 2, Leesburg, FL 34748",Apartment,2,1,900,800,58.3,80.6,22.4,Palatka closer,fallback geocode,landlord-managed,,Landlord,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Realtor.com,https://www.realtor.com/rentals/details/301-S-East-St-Apt-2_Leesburg_FL_34748_M93185-41869,https://www.google.com/maps/search/?api=1&query=301+S+East+St+Apt+2%2C+Leesburg%2C+FL+34748,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=301+S+East+St+Apt+2%2C+Leesburg%2C+FL+34748&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=301+S+East+St+Apt+2%2C+Leesburg%2C+FL+34748&travelmode=driving,"Managed by landlord. Available today. 2 bedroom, 1 bathroom, 900 square feet."
6,301 S East St,Leesburg,"301 S East St, Leesburg, FL 34748",Apartment,2,1,589,800,58.3,80.6,22.4,Palatka closer,exact address,landlord-managed,,Landlord,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Realtor.com,https://www.realtor.com/rentals/details/301-S-East-St_Leesburg_FL_34748_M96058-49613,https://www.google.com/maps/search/?api=1&query=301+S+East+St%2C+Leesburg%2C+FL+34748,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=301+S+East+St%2C+Leesburg%2C+FL+34748&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=301+S+East+St%2C+Leesburg%2C+FL+34748&travelmode=driving,"Managed by landlord. Available today. 2 bedroom, 1 bathroom, 589 square feet."
7,805 Peters St,Wildwood,"805 Peters St, Wildwood, FL 34785",House,2,1,672,700,58.2,80.9,22.6,Palatka closer,exact address,general rental,(407) 637-1228,,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Apartments.com,https://www.apartments.com/805-peters-st-wildwood-fl/dbg56zk/,https://www.google.com/maps/search/?api=1&query=805+Peters+St%2C+Wildwood%2C+FL+34785,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=805+Peters+St%2C+Wildwood%2C+FL+34785&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=805+Peters+St%2C+Wildwood%2C+FL+34785&travelmode=driving,"Available now. Cute 2 bed, 1 bath home."
8,200 Church St Apt F4,Leesburg,"200 Church St Apt F4, Leesburg, FL 34748",Apartment,2,1,,995,58.1,80.9,22.8,Palatka closer,fallback geocode,property management,,Property management / owner approval required,$75 per adult,"$1,095",$200 move-in processing fee,$250 non-refundable pet deposit,$995 first month rent,"$2,365 before any optional pet charges",$525,$1025,Above budget,At or under budget,Dwellsy,https://dwellsy.com/details/7317290,https://www.google.com/maps/search/?api=1&query=200+Church+St+Apt+F4%2C+Leesburg%2C+FL+34748,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=200+Church+St+Apt+F4%2C+Leesburg%2C+FL+34748&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=200+Church+St+Apt+F4%2C+Leesburg%2C+FL+34748&travelmode=driving,Oak Grove Apartments. Monthly pest control included.
9,403 Kilgore St,Wildwood,"403 Kilgore St, Wildwood, FL 34785",House,2,1,672,850,58.0,81.0,23.0,Palatka closer,exact address,general rental,(407) 637-1228,,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Apartments.com,https://www.apartments.com/403-kilgore-st-wildwood-fl/6cevsrr/,https://www.google.com/maps/search/?api=1&query=403+Kilgore+St%2C+Wildwood%2C+FL+34785,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=403+Kilgore+St%2C+Wildwood%2C+FL+34785&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=403+Kilgore+St%2C+Wildwood%2C+FL+34785&travelmode=driving,Available under-$1000 Wildwood listing surfaced in Apartments.com results.
10,203 Jackson St,Wildwood,"203 Jackson St, Wildwood, FL 34785",House,2,1,672,700,58.0,81.1,23.1,Palatka closer,exact address,general rental,(407) 637-1228,,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,NOT FOUND / NEEDS CALL,$525,$1025,Above budget,At or under budget,Apartments.com,https://www.apartments.com/203-jackson-st-wildwood-fl/rgdhh82/,https://www.google.com/maps/search/?api=1&query=203+Jackson+St%2C+Wildwood%2C+FL+34785,https://www.google.com/maps/dir/?api=1&origin=1524+Husson+Ave%2C+Palatka%2C+FL+32177&destination=203+Jackson+St%2C+Wildwood%2C+FL+34785&travelmode=driving,https://www.google.com/maps/dir/?api=1&origin=706+Desert+Hills+Dr%2C+Sun+City+Center%2C+FL&destination=203+Jackson+St%2C+Wildwood%2C+FL+34785&travelmode=driving,Available listing surfaced on Apartments.com under-$1000 Wildwood results.
